v1,v2
0,"['i', 'know', 'you', 'are', 'thinkin', 'malaria', 'but', 'relax', 'children', 'cant', 'handle', 'malaria', 'she', 'would', 'have', 'been', 'worse', 'and', 'its', 'gastroenteritis', 'if', 'she', 'takes', 'enough', 'to', 'replace', 'her', 'loss', 'her', 'temp', 'will', 'reduce', 'and', 'if', 'you', 'give', 'her', 'malaria', 'meds', 'now', 'she', 'will', 'just', 'vomit', 'its', 'a', 'self', 'limiting', 'illness', 'she', 'has', 'which', 'means', 'in', 'a', 'few', 'days', 'it', 'will', 'completely', 'stop']"
0,"['are', 'you', 'this', 'much', 'buzy']"
0,"['ok', 'every', 'night', 'take', 'a', 'warm', 'bath', 'drink', 'a', 'cup', 'of', 'milk', 'and', 'you', 'll', 'see', 'a', 'work', 'of', 'magic', 'you', 'still', 'need', 'to', 'loose', 'weight', 'just', 'so', 'that', 'you', 'know']"
0,"['yo', 'do', 'you', 'know', 'anyone', 'lt', 'gt', 'or', 'otherwise', 'able', 'to', 'buy', 'liquor', 'our', 'guy', 'flaked', 'and', 'right', 'now', 'if', 'we', 'don', 't', 'get', 'a', 'hold', 'of', 'somebody', 'its', 'just', 'loko', 'all', 'night']"
0,"['and', 'smile', 'for', 'me', 'right', 'now', 'as', 'you', 'go', 'and', 'the', 'world', 'will', 'wonder', 'what', 'you', 'are', 'smiling', 'about', 'and', 'think', 'your', 'crazy', 'and', 'keep', 'away', 'from', 'you', 'grins']"
1,"['sms', 'auction', 'a', 'brand', 'new', 'nokia', 'is', 'up', 'auction', 'today', 'auction', 'is', 'free', 'join', 'take', 'part', 'txt', 'nokia', 'to', 'now']"
0,"['happy', 'or', 'sad', 'one', 'thing', 'about', 'past', 'is', 'its', 'no', 'more', 'good', 'morning']"
0,"['aathi', 'where', 'are', 'you', 'dear']"
0,"['oh', 'mr', 'sheffield', 'you', 'wanna', 'play', 'that', 'game', 'okay', 'you', 're', 'the', 'boss', 'and', 'i', 'm', 'the', 'nanny', 'you', 'give', 'me', 'a', 'raise', 'and', 'i', 'll', 'give', 'you', 'one']"
0,"['k', 'wen', 'ur', 'free', 'come', 'to', 'my', 'home', 'and', 'also', 'tel', 'vikky', 'i', 'hav', 'sent', 'mail', 'to', 'him', 'also', 'better', 'come', 'evening', 'il', 'be', 'free', 'today', 'aftr', 'pm']"
0,"['ugh', 'i', 'don', 't', 'wanna', 'get', 'out', 'of', 'bed', 'it', 's', 'so', 'warm']"
0,"['ummmmmaah', 'many', 'many', 'happy', 'returns', 'of', 'd', 'day', 'my', 'dear', 'sweet', 'heart', 'happy', 'birthday', 'dear']"
0,"['doc', 'prescribed', 'me', 'morphine', 'cause', 'the', 'other', 'pain', 'meds', 'aren', 't', 'enough', 'waiting', 'for', 'my', 'mom', 'to', 'bring', 'it', 'that', 'med', 'should', 'kick', 'in', 'fast', 'so', 'i', 'm', 'gonna', 'try', 'to', 'be', 'on', 'later']"
0,"['aiyah', 'sorry', 'lor', 'i', 'watch', 'tv', 'watch', 'until', 'i', 'forgot', 'check', 'my', 'phone']"
0,"['dis', 'is', 'yijue', 'i', 'jus', 'saw', 'ur', 'mail', 'in', 'case', 'huiming', 'havent', 'sent', 'u', 'my', 'num', 'dis', 'is', 'my', 'num']"
0,"['kay', 'since', 'we', 'are', 'out', 'already']"
0,"['we', 'have', 'pizza', 'if', 'u', 'want']"
0,"['aight', 'i', 'll', 'text', 'you', 'when', 'i', 'm', 'back']"
0,"['aight', 'you', 'close', 'by', 'or', 'still', 'down', 'around', 'alex', 's', 'place']"
1,"['had', 'your', 'mobile', 'months', 'or', 'more', 'u', 'r', 'entitled', 'to', 'update', 'to', 'the', 'latest', 'colour', 'mobiles', 'with', 'camera', 'for', 'free', 'call', 'the', 'mobile', 'update', 'co', 'free', 'on']"
0,"['you', 'do', 'what', 'all', 'you', 'like']"
0,"['do', 'you', 'like', 'shaking', 'your', 'booty', 'on', 'the', 'dance', 'floor']"
0,"['don', 't', 'worry', 'though', 'i', 'understand', 'how', 'important', 'it', 'is', 'that', 'i', 'be', 'put', 'in', 'my', 'place', 'with', 'a', 'poorly', 'thought', 'out', 'punishment', 'in', 'the', 'face', 'of', 'the', 'worst', 'thing', 'that', 'has', 'ever', 'happened', 'to', 'me', 'brb', 'gonna', 'go', 'kill', 'myself']"
0,"['anyway', 'holla', 'at', 'me', 'whenever', 'you', 're', 'around', 'because', 'i', 'need', 'an', 'excuse', 'to', 'go', 'creep', 'on', 'people', 'in', 'sarasota']"
0,"['this', 'girl', 'does', 'not', 'stay', 'in', 'bed', 'this', 'girl', 'doesn', 't', 'need', 'recovery', 'time', 'id', 'rather', 'pass', 'out', 'while', 'having', 'fun', 'then', 'be', 'cooped', 'up', 'in', 'bed']"
0,"['hello', 'my', 'little', 'party', 'animal', 'i', 'just', 'thought', 'i', 'd', 'buzz', 'you', 'as', 'you', 'were', 'with', 'your', 'friends', 'grins', 'reminding', 'you', 'were', 'loved', 'and', 'send', 'a', 'naughty', 'adoring', 'kiss']"
0,"['oops', 'i', 'thk', 'i', 'dun', 'haf', 'enuff', 'i', 'go', 'check', 'then', 'tell', 'ã', '_']"
0,"['horrible', 'bf', 'i', 'now', 'v', 'hungry']"
0,"['hi', 'there', 'we', 'have', 'now', 'moved', 'in', 'our', 'pub', 'would', 'be', 'great', 'c', 'u', 'if', 'u', 'cud', 'come', 'up']"
0,"['sorry', 'i', 'll', 'call', 'later']"
0,"['no', 'i', 'am', 'not', 'having', 'not', 'any', 'movies', 'in', 'my', 'laptop']"
0,"['wot', 'about', 'on', 'wed', 'nite', 'i', 'am', 'then', 'but', 'only', 'til']"
0,"['sac', 'will', 'score', 'big', 'hundred', 'he', 'is', 'set', 'batsman']"
0,"['motivate', 'behind', 'every', 'darkness', 'there', 'is', 'a', 'shining', 'light', 'waiting', 'for', 'you', 'to', 'find', 'it', 'behind', 'every', 'best', 'friend', 'there', 'is', 'always', 'trust', 'and', 'love', 'bslvyl']"
0,"['but', 'i', 'm', 'surprised', 'she', 'still', 'can', 'guess', 'right', 'lor']"
0,"['who', 's', 'there', 'say', 'hi', 'to', 'our', 'drugdealer']"
0,"['oh', 'oh', 'wasted', 'den', 'muz', 'chiong', 'on', 'sat', 'n', 'sun', 'liao']"
0,"['waqt', 'se', 'pehle', 'or', 'naseeb', 'se', 'zyada', 'kisi', 'ko', 'kuch', 'nahi', 'milta', 'zindgi', 'wo', 'nahi', 'he', 'jo', 'hum', 'sochte', 'hai', 'zindgi', 'wo', 'hai', 'jo', 'ham', 'jeetey', 'hai']"
0,"['lol', 'i', 'know', 'hey', 'someone', 'did', 'a', 'great', 'inpersonation', 'of', 'flea', 'on', 'the', 'forums', 'i', 'love', 'it']"
1,"['u', 'can', 'win', 'ã', 'â', 'of', 'music', 'gift', 'vouchers', 'every', 'week', 'starting', 'now', 'txt', 'the', 'word', 'draw', 'to', 'tscs', 'www', 'ldew', 'com', 'skillgame', 'winaweek', 'age', 'ppermesssubscription']"
0,"['i', 'am', 'not', 'having', 'her', 'number', 'sir']"
1,"['double', 'mins', 'txts', 'on', 'orange', 'tariffs', 'latest', 'motorola', 'sonyericsson', 'nokia', 'with', 'bluetooth', 'free', 'call', 'mobileupd', 'on', 'or', 'calloptout', 'hf']"
0,"['how', 'are', 'u', 'i', 'have', 'missed', 'u', 'i', 'havent', 'been', 'up', 'much', 'a', 'bit', 'bored', 'with', 'the', 'holiday', 'want', 'go', 'bak', 'college', 'sad', 'isnt', 'it', 'xx']"
1,"['xxxmobilemovieclub', 'to', 'use', 'your', 'credit', 'click', 'the', 'wap', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here', 'http', 'wap', 'xxxmobilemovieclub', 'com', 'n', 'qjkgighjjgcbl']"
0,"['can', 'help', 'u', 'swoop', 'by', 'picking', 'u', 'up', 'from', 'wherever', 'ur', 'other', 'birds', 'r', 'meeting', 'if', 'u', 'want']"
0,"['he', 'fucking', 'chickened', 'out', 'he', 'messaged', 'me', 'he', 'would', 'be', 'late', 'and', 'woould', 'buzz', 'me', 'and', 'then', 'i', 'didn', 't', 'hear', 'a', 'word', 'from', 'him']"
0,"['okay', 'same', 'with', 'me', 'well', 'thanks', 'for', 'the', 'clarification']"
0,"['lol', 'ok', 'ill', 'try', 'to', 'send', 'be', 'warned', 'sprint', 'is', 'dead', 'slow', 'you', 'll', 'prolly', 'get', 'it', 'tomorrow']"
0,"['it', 'is', 'a', 'good', 'thing', 'i', 'm', 'now', 'getting', 'the', 'connection', 'to', 'bw']"
0,"['no', 'dude', 'its', 'not', 'fake', 'my', 'frnds', 'got', 'money', 'thts', 'y', 'i', 'm', 'reffering', 'u', 'if', 'u', 'member', 'wit', 'my', 'mail', 'link', 'u', 'vl', 'be', 'credited', 'lt', 'gt', 'rs', 'and', 'il', 'be', 'getiing', 'lt', 'gt', 'rs', 'i', 'can', 'draw', 'my', 'acc', 'wen', 'it', 'is', 'lt', 'gt', 'rs']"
0,"['s', 'but', 'not', 'able', 'to', 'sleep']"
0,"['wat', 'time', 'liao', 'where', 'still', 'got']"
